"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q3,Q8,Q7,Q2,Q5,Q1,Q4,Q6";"SOT-23";8;"BSS138";;;
2;"R18,R4,R11,R12,R7,R1,R6,R3,R15,R17,R16,R5,R2,R8";"R_0805_2012Metric";14;"10K";;;
3;"MCU1";"TTGO-T-Display";1;"TTGO-T-Display";;;
4;",,,";"";4;"";;;
5;"J2";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Conn_01x04_Pin";;;
6;"J4";"TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
7;"U1";"Teensy41";1;"Teensy4.1";;;
8;"SW8,SW6,SW1,SW3,SW4,SW2,SW7,SW5,SW9,SW10";"SW_TH_Tactile_Omron_B3F-10xx";10;"SW_Omron_B3FS";;;
9;"R14,R13";"R_0805_2012Metric";2;"0K";;;
10;"R9,R10";"R_0805_2012Metric";2;"330R";;;
11;"J1";"RJ45_RCH_RC01937";1;"RJ45_Shielded";;;
12;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
13;"E1";"Sparkfun";1;"~";;;
