Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q1,BSS138,SOT-23,94.0625,-75.45,0,top
Q2,BSS138,SOT-23,77.2375,-99.25,180,top
Q3,BSS138,SOT-23,77.2375,-93.25,180,top
Q4,BSS138,SOT-23,77.2375,-87.25,180,top
Q5,BSS138,SOT-23,77.2375,-105.25,180,top
Q6,BSS138,SOT-23,92.45,-32.30625,-90,top
Q7,BSS138,SOT-23,97.075,-32.30625,-90,top
Q8,BSS138,SOT-23,94.0625,-69.5,0,top
R1,10K,R_0805_2012Metric,85.5875,-98.5,180,top
R2,10K,R_0805_2012Metric,68.675,-98.5,0,top
R3,10K,R_0805_2012Metric,85.5875,-92.5,180,top
R4,10K,R_0805_2012Metric,68.675,-92.5,0,top
R5,10K,R_0805_2012Metric,85.5875,-86.5,180,top
R6,10K,R_0805_2012Metric,68.675,-86.5,0,top
R7,10K,R_0805_2012Metric,85.5875,-104.5,180,top
R8,10K,R_0805_2012Metric,68.675,-104.5,0,top
R9,330R,R_0805_2012Metric,92.5,-37.41875,-90,top
R10,330R,R_0805_2012Metric,97,-37.33125,-90,top
R11,10K,R_0805_2012Metric,99,-62.0875,-90,top
R12,10K,R_0805_2012Metric,94,-62,90,top
R13,0K,R_0805_2012Metric,101,-71.5,180,top
R14,0K,R_0805_2012Metric,101,-75.5,180,top
R15,10K,R_0805_2012Metric,101,-73.5,180,top
R16,10K,R_0805_2012Metric,101,-69.5,180,top
R17,10K,R_0805_2012Metric,90.0875,-75.5,180,top
R18,10K,R_0805_2012Metric,90.0875,-69.5,180,top
