Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
E1,Sparkfun,1,~,
J1,RJ45_RCH_RC01937,1,RJ45_Shielded,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J4,TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal,1,Screw_Terminal_01x02,
MCU1,TTGO-T-Display,1,TTGO-T-Display,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,8,BSS138,
"R1, R11, R12, R18, R2, R3, R4, R5, R6, R7, R8",0805,11,10K,
"R10, R9",0805,2,330R,
"R13, R14",0805,2,0K,
"R15, R16, R17",0805,3,1K,
"SW1, SW10, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_TH_Tactile_Omron_B3F-10xx,10,SW_Omron_B3FS,
U1,Teensy41,1,Teensy4.1,
